Cluster,Accuracy,Precision,Recall,F1 Score
Adaptive_Pragmatists,0.9876543209876543,0.9333333333333333,1.0,0.9655172413793104
Centralized_Industrial_Policy,1.0,1.0,1.0,1.0
Distributed_Industrial_Policy ,0.9876543209876543,1.0,0.9333333333333333,0.9655172413793104
Financial Cross-Cutters,0.9876543209876543,0.9285714285714286,1.0,0.962962962962963
Market_Based,0.9753086419753086,0.8888888888888888,0.8888888888888888,0.8888888888888888
Regional_Autonomy,0.9876543209876543,1.0,0.8888888888888888,0.9411764705882353
